Fecha,PREC_21205770_BASE_AEREA_MADRID_MADRID,TMin_21205880_FLORES_CHIBCHA_MADRID,TMin_21206060_CASABLANCA_MADRID,PREC_21205420_TIBAITATA_MOSQUERA,TMax_21205420_TIBAITATA_MOSQUERA,TMin_21205420_TIBAITATA_MOSQUERA,PREC_21205960_TACHI_SUBACHOQUE,TMin_21205960_TACHI_SUBACHOQUE,PREC_21201210_EL_HATO_TENJO,TMax_21205980_GRANJA_PROVIDENCIA_TENJO,TMin_21205980_GRANJA_PROVIDENCIA_TENJO,PREC_21206280_ACAPULCO_BOJACA,TMin_21205870_EL_SALITRE_BOJACA,PREC_21201070_EL_CORAZON_FACATATIVA,TMin_21205940_VILLA_INES_FACATATIVA
1995-11-26,0.0,6.4,3.0,0.0,20.0,5.9,0.0,2.6,0.0,20.0,3.2,0.0,4.2,0.0,8.4
1995-11-27,0.0,5.8,3.0,0.0,20.8,4.1,0.0,1.6,0.0,20.8,1.7,0.0,4.4,0.0,5.4
1995-11-28,0.0,3.2,3.0,0.0,20.7,6.4,0.0,2.0,0.0,21.8,3.2,0.0,3.6,0.0,1.6
1995-11-29,0.0,1.2,5.0,0.0,20.2,2.2,0.0,1.8,0.0,22.0,3.609845379922157,0.0,1.2,0.0,1.4
1995-11-30,0.0,2.8,2.0,0.0,20.1,4.8,0.0,1.2,0.0,20.8,4.7,8.6,4.4,0.0,4.8
1995-12-01,0.0,8.8,6.4,0.0,20.0,10.1,0.0,7.639703629260971,0.0,21.6,8.6,0.0,7.6,0.0,6.4
1995-12-02,0.0,7.2,4.0,0.0,20.4,5.9,0.0,5.177307786696721,0.0,20.6,5.0,0.0,5.8,0.0,3.4
1995-12-03,0.0,5.2,7.0,0.3,20.0,10.5,0.0,6.134906169916151,0.0,20.2,6.4,0.0,7.2,0.0,5.0
1995-12-04,0.0,10.2,8.0,0.6,19.1,10.2,0.0,5.4,0.0,19.2,10.4,0.0,5.0,0.0,9.8
1995-12-05,0.0,10.2,8.0,0.3,18.8,10.5,0.0,10.0,0.0,19.4,11.0,0.0,9.2,0.0,9.6
1995-12-06,0.0,7.6,6.0,0.7,17.9,5.9,0.0,7.8,0.0,18.4,8.6,0.0,7.0,0.0,7.4
1995-12-07,0.0,10.8,4.3,1.1,17.6,11.1,0.0,9.8,0.0,16.9,11.2,0.0,10.0,0.0,11.0
1995-12-08,0.0,5.6,3.4,0.0,18.3,6.7,0.0,4.8,0.0,18.0,9.7,0.0,6.0,0.0,6.4
1995-12-09,0.0,1.4,4.0,0.0,19.8,5.0,0.0,1.2,0.0,20.8,5.2,0.6666666666666666,3.4,0.0,3.4
1995-12-10,0.0,1.8,4.0,0.0,20.5,5.7,0.0,5.2,0.0,21.6,6.0,1.3333333333333333,4.5,0.0,3.4
1995-12-11,0.0,3.8,4.0,0.0,19.5,5.1,0.0,5.040508017665373,0.0,17.8,4.8,2.0,4.2,0.0,4.8
1995-12-12,0.0,9.6,6.4,0.0,19.2,9.6,0.0,8.597302012480402,0.0,18.4,10.0,1.3333333333333335,8.2,0.0,9.6
1995-12-13,0.0,6.6,4.8,0.0,19.6,8.5,0.0,4.4,0.09999999999999999,19.8,6.5,0.6666666666666667,5.0,0.0,4.6
1995-12-14,0.0,10.2,7.0,0.3,17.2,9.2,0.0,10.0,0.19999999999999998,16.9,10.2,0.0,7.0,0.0,9.2
1995-12-15,0.0,9.8,7.0,0.6,19.2,8.7,0.0,9.0,0.3,19.4,10.5,0.0,8.4,0.0,9.2
1995-12-16,0.0,9.8,4.0,0.2,19.0,9.0,0.0,8.0,0.2,19.2,10.2,0.0,8.6,0.0,7.8
1995-12-17,0.0,10.4,2.0,1.1,19.7,7.1,0.0,10.0,0.1,20.3,9.2,0.0,9.2,0.0,8.4
1995-12-18,0.0,5.2,3.2,0.0,20.4,4.7,0.0,4.8,0.0,20.2,4.4,0.0,5.6,0.0,4.8
1995-12-19,0.0,9.4,4.6,0.0,18.3,9.6,0.0,8.8,0.0,17.4,10.3,0.0,8.8,0.0,9.0
1995-12-20,0.0,7.4,6.0,0.0,19.2,8.4,0.0,7.2,0.0,19.7,8.6,0.0,6.8,0.0,7.4
1995-12-21,0.0,7.6,5.0,0.0,17.3,6.1,0.0,7.8,0.0,18.8,6.8,0.0,6.6,0.0,6.6
1995-12-22,0.0,5.4,4.0,0.0,18.2,7.1,0.0,4.151309518961616,0.0,18.0,3.5,0.0,6.2,0.0,6.2
1995-12-23,0.0,2.6,4.0,0.2,18.9,3.8,0.0,3.398910789289206,0.0,19.0,2.4,0.0,3.0,0.0,2.4
