estacion,codigo,nombre_corto,r2_temp,rmse_temp,mae_temp,features_temp,heladas_totales_test,heladas_detectadas,recall_helada,precision_helada,f1_helada,accuracy_helada,falsas_alarmas,heladas_perdidas,features_helada
TMin_21205880_FLORES_CHIBCHA_MADRID,21205880,21205880,0.40062920071892816,2.1216465329168925,1.6939763298920878,52,22,20,0.9090909090909091,0.12658227848101267,0.2222222222222222,0.9360146252285192,138,2,78
TMin_21206060_CASABLANCA_MADRID,21206060,21206060,0.24909173131378093,1.8264207313944685,1.3818188868002672,52,6,3,0.5,0.04,0.07407407407407407,0.9657221206581352,72,3,78
TMin_21205420_TIBAITATA_MOSQUERA,21205420,21205420,0.33430825216408533,2.1726807718253296,1.7822852916861605,52,13,10,0.7692307692307693,0.052083333333333336,0.0975609756097561,0.9154478976234004,182,3,78
TMin_21205960_TACHI_SUBACHOQUE,21205960,21205960,0.3187065611796661,2.0702352056490017,1.6654692071179291,52,11,7,0.6363636363636364,0.051094890510948905,0.0945945945945946,0.9387568555758684,130,4,78
TMin_21205980_GRANJA_PROVIDENCIA_TENJO,21205980,21205980,0.21245357615267368,2.1776288886243513,1.772369970659308,52,7,6,0.8571428571428571,0.03571428571428571,0.06857142857142857,0.9255027422303473,162,1,78
TMin_21205870_EL_SALITRE_BOJACA,21205870,21205870,0.30463572312821763,1.6862943160030057,1.3691721822455736,52,1,1,1.0,0.014285714285714285,0.028169014084507043,0.9684643510054844,69,0,78
TMin_21205940_VILLA_INES_FACATATIVA,21205940,21205940,0.2270677727191377,2.150265790282777,1.7454819977603846,52,5,2,0.4,0.01639344262295082,0.031496062992125984,0.9437842778793418,120,3,78
