Fecha,TMIN_Real,TMIN_Predicha,Error,Error_Abs,Helada_Real,Helada_Predicha
2019-11-11,10.8,8.942115185794828,1.857884814205173,1.857884814205173,0,0
2019-11-12,10.6,8.87323572542779,1.7267642745722096,1.7267642745722096,0,0
2019-11-13,10.4,8.983126040828507,1.4168739591714932,1.4168739591714932,0,0
2019-11-14,8.4,8.78071057769262,-0.3807105776926196,0.3807105776926196,0,0
2019-11-15,8.0,7.833125627960724,0.1668743720392758,0.1668743720392758,0,0
2019-11-16,5.6,7.71796051312833,-2.11796051312833,2.11796051312833,0,0
2019-11-17,5.6,6.390622870824145,-0.7906228708241452,0.7906228708241452,0,0
2019-11-18,6.6,6.307065408783927,0.29293459121607235,0.29293459121607235,0,0
2019-11-19,8.6,6.71196034251611,1.8880396574838896,1.8880396574838896,0,0
2019-11-20,8.6,7.6274234915727135,0.9725765084272862,0.9725765084272862,0,0
2019-11-21,8.8,7.652556542962656,1.1474434570373448,1.1474434570373448,0,0
2019-11-22,4.6,7.765653438858957,-3.165653438858957,3.165653438858957,0,0
2019-11-23,7.138978349237871,5.722628219025616,1.4163501302122556,1.4163501302122556,0,0
2019-11-24,4.4,7.2310301019271765,-2.831030101927176,2.831030101927176,0,0
2019-11-25,5.0,5.626526829023246,-0.6265268290232457,0.6265268290232457,0,0
2019-11-26,7.4,5.9222850047141335,1.4777149952858668,1.4777149952858668,0,0
2019-11-27,9.6,6.894153137915179,2.7058468620848206,2.7058468620848206,0,0
2019-11-28,3.8,7.948332128550031,-4.148332128550031,4.148332128550031,0,0
2019-11-29,5.8,5.080214405099227,0.719785594900773,0.719785594900773,0,0
2019-11-30,8.6,6.349374361326378,2.250625638673622,2.250625638673622,0,0
2019-12-01,3.6,7.960897785142267,-4.360897785142267,4.360897785142267,0,0
2019-12-02,3.8,5.434523753913267,-1.6345237539132675,1.6345237539132675,0,0
2019-12-03,3.8,5.602240282174372,-1.8022402821743722,1.8022402821743722,0,0
2019-12-04,3.8,5.253081219285819,-1.453081219285819,1.453081219285819,0,0
2019-12-05,1.6,5.258886231023692,-3.658886231023692,3.658886231023692,0,0
2019-12-06,2.8,3.849364083381622,-1.0493640833816222,1.0493640833816222,0,0
2019-12-07,6.0,4.330173741723959,1.669826258276041,1.669826258276041,0,0
2019-12-08,5.4,5.922925662573185,-0.5229256625731846,0.5229256625731846,0,0
2019-12-09,2.0,5.56330416145,-3.5633041614499996,3.5633041614499996,0,0
2019-12-10,2.0,3.931311910532076,-1.931311910532076,1.931311910532076,0,0
2019-12-11,5.0,4.059117055854264,0.940882944145736,0.940882944145736,0,0
2019-12-12,7.0,5.499895891285771,1.500104108714229,1.500104108714229,0,0
2019-12-13,7.0,6.348565005231552,0.6514349947684481,0.6514349947684481,0,0
2019-12-14,11.0,6.3654329485132,4.6345670514868,4.6345670514868,0,0
2019-12-15,9.8,8.414333406435937,1.3856665935640642,1.3856665935640642,0,0
2019-12-16,4.8,8.031499433736876,-3.231499433736876,3.231499433736876,0,0
2019-12-17,5.6,5.8943382676397045,-0.29433826763970483,0.29433826763970483,0,0
2019-12-18,3.8,6.357043365489257,-2.557043365489257,2.557043365489257,0,0
2019-12-19,5.0,5.3589113109165565,-0.3589113109165565,0.3589113109165565,0,0
2019-12-20,5.2,5.754649517794254,-0.5546495177942541,0.5546495177942541,0,0
2019-12-21,10.0,5.586308641776117,4.413691358223883,4.413691358223883,0,0
2019-12-22,8.6,8.145260898589452,0.4547391014105475,0.4547391014105475,0,0
2019-12-23,9.8,7.350348176261379,2.4496518237386216,2.4496518237386216,0,0
2019-12-24,7.8,8.240213458622511,-0.4402134586225115,0.4402134586225115,0,0
2019-12-25,9.8,7.218453948886305,2.581546051113696,2.581546051113696,0,0
2019-12-26,6.4,8.425816040768057,-2.0258160407680563,2.0258160407680563,0,0
2019-12-27,1.8,6.415998246602242,-4.615998246602242,4.615998246602242,0,0
2019-12-28,2.6,4.2234594371852845,-1.6234594371852844,1.6234594371852844,0,0
2019-12-29,3.6,4.796443830380799,-1.1964438303807987,1.1964438303807987,0,0
2019-12-30,8.4,4.836613099063886,3.5633869009361145,3.5633869009361145,0,0
2019-12-31,6.2,7.04467677533718,-0.84467677533718,0.84467677533718,0,0
2020-01-01,5.4,5.71032355194632,-0.3103235519463192,0.3103235519463192,0,0
2020-01-02,4.6,5.715522411130192,-1.1155224111301925,1.1155224111301925,0,0
2020-01-03,1.4,5.359822084118625,-3.9598220841186254,3.9598220841186254,0,0
2020-01-04,1.4,3.7288482760365467,-2.3288482760365468,2.3288482760365468,0,0
2020-01-05,1.6,3.7165418882557875,-2.1165418882557874,2.1165418882557874,0,0
2020-01-06,1.4,3.423083098005129,-2.023083098005129,2.023083098005129,0,0
2020-01-07,0.2,3.13753288507194,-2.9375328850719398,2.9375328850719398,0,0
2020-01-08,-0.6,2.432000570131875,-3.032000570131875,3.032000570131875,1,0
2020-01-09,-1.8,1.9319287328030903,-3.73192873280309,3.73192873280309,1,0
2020-01-10,-1.6,1.2243726506626968,-2.824372650662697,2.824372650662697,1,0
2020-01-11,-1.6,1.2407587122254284,-2.8407587122254285,2.8407587122254285,1,0
2020-01-12,2.2,1.0854482183676417,1.1145517816323585,1.1145517816323585,0,0
2020-01-13,3.6,2.878394191840292,0.7216058081597079,0.7216058081597079,0,0
2020-01-14,1.0,3.4902531910913366,-2.4902531910913366,2.4902531910913366,0,0
2020-01-15,1.6,2.2542689122691746,-0.6542689122691745,0.6542689122691745,0,0
