Modelo,R2_Train,R2_Test,RMSE,MAE,Overfitting
Ridge,0.3749962738990881,0.4085348532465666,2.1076079138187693,1.6761702367278104,-0.0335385793474785
Linear Regression,0.3749974977092605,0.40845944126335854,2.1077422698561556,1.6762192696637654,-0.03346194355409804
Red Neuronal MLP,0.42771218230387,0.40192048081274,2.119359870725428,1.65871037279682,0.02579170149112997
Random Forest,0.7539503627985897,0.3984481372490275,2.1255032804163405,1.6989817577853694,0.35550222554956223
Lasso,0.3641969499147758,0.38505607287599153,2.1490325825427683,1.7380255222130256,-0.020859122961215726
Gradient Boosting,0.6302132135818104,0.3643587256068991,2.184898600261267,1.7504890444357046,0.2658544879749113
