Enfoque,Features,R2_Ridge,RMSE_Ridge,R2_RF,RMSE_RF,Recall_Ridge_Clf,Recall_RF_Clf,Heladas_Detectadas_Ridge,Heladas_Detectadas_RF,Falsas_Alarmas_Ridge,Falsas_Alarmas_RF
Solo Madrid,53,0.40808141061080483,2.1084156505018172,0.3884107473001588,2.1431628085865473,0.9090909090909091,0.13636363636363635,20,3,130,10
Madrid + PREC + TMax,79,0.40504322881395294,2.113819730878807,0.38958416341631563,2.1411058486396244,0.9090909090909091,0.36363636363636365,20,8,99,11
